"id","created_by","sku_code","wd_town_id","sku_id","cnf_id","active_flag","created_date","status","last_updated","last_updated_date","cnf_code","last_price","order_month_year"
10751,,CIG0002626,"127662","2970583","140",N,"2022-10-17 22:20:55.918286",1,,"2022-10-17 22:20:55.918308",,2708.37,
10752,,CIG0002625,"127662","73148","140",Y,"2022-10-17 22:20:55.922489",1,,"2023-05-30 21:09:23.784322",,4009.5,
10753,,CIG0002069,"127662","73141","140",Y,"2022-10-17 22:20:55.927690",1,,"2023-05-30 21:09:23.827152",,5174.36,
10755,,CDICGA1111,"127674","2710378","140",N,"2022-10-17 22:20:55.935786",1,,"2023-05-30 18:24:08.164742",,76.46,
10756,,CIG0009377,"127662","3200604","140",Y,"2022-10-17 22:20:55.939610",1,,"2023-05-30 21:09:23.887040",,2995.54,
10757,,CDICLA1114,"127674","2710383","140",N,"2022-10-17 22:20:55.943505",1,,"2023-05-30 18:24:08.208248",,305.84,
10758,,CIG0009299,"127662","2666006","140",N,"2022-10-17 22:20:55.948011",1,,"2023-05-30 18:24:08.251462",,5304.95,
10759,,CDICGA1111,"127674","2710378","140",N,"2022-10-17 22:20:55.952077",1,,"2022-10-17 22:20:55.952107",,76.46,
10760,,CIG0003085,"127662","4551905","140",Y,"2022-10-17 22:20:55.955743",1,,"2023-05-30 21:09:23.931549",,1600.92,
10761,,CIG0002014,"127662","1274080","140",Y,"2022-10-17 22:20:55.959899",1,,"2022-10-17 22:20:55.959919",,9600.25,
10762,,CIG0002020,"127662","5198426","140",Y,"2022-10-17 22:20:55.963457",1,,"2023-05-30 21:09:24.004597",,8115.1,
10769,,CIG0005518,"127662","5637080","140",Y,"2022-10-17 22:20:55.990160",1,,"2023-05-30 21:09:24.064892",,2368.23,
10775,,CIG0001112,"127662","6017083","140",Y,"2022-10-17 22:20:56.012774",1,,"2022-10-17 22:20:56.012795",,1501.36,
10789,,CIG0003111,"127662","73103","140",Y,"2022-10-17 22:20:56.067803",1,,"2022-10-17 22:20:56.067826",,5587.72,
10790,,CIG0002017,"127662","1436085","140",Y,"2022-10-17 22:20:56.071647",1,,"2023-05-30 21:09:24.111986",,9600.25,
10791,,CIG0001229,"127662","73182","140",N,"2022-10-17 22:20:56.075147",1,,"2023-05-30 18:24:08.294147",,4009.5,
10792,,CIG0009615,"127662","1990081","140",N,"2022-10-17 22:20:56.078923",0,,"2023-05-30 18:24:08.337450",,2288.4,
10793,,CIG0001126,"127662","2518101","140",N,"2022-10-17 22:20:56.082497",0,,"2023-05-30 18:24:08.380079",,1508.27,
10794,,CIG0009235,"127662","2660738","140",N,"2022-10-17 22:20:56.086175",0,,"2023-05-30 18:24:08.422852",,1734.19,
10795,,CIG0002010,"127662","778084","140",Y,"2022-10-17 22:20:56.089793",1,,"2022-10-17 22:20:56.089814",,8490.1,
10796,,CIG0002625,"127662","73148","140",Y,"2022-10-17 22:20:56.093584",1,,"2022-10-17 22:20:56.093604",,4009.5,
10797,,CIG0009299,"127662","2666006","140",N,"2022-10-17 22:20:56.097118",1,,"2022-10-17 22:20:56.097138",,4003.0,
10799,,CIG0002710,"127662","5463942","140",Y,"2022-10-17 22:20:56.104619",1,,"2023-05-30 21:09:24.155580",,2057.77,
10802,,CDICLA1111N,"127674","5365106","140",Y,"2022-10-17 22:20:56.115589",1,,"2022-10-17 22:20:56.115615",,71.45,
10803,,CIG0001112,"127662","6017083","140",Y,"2022-10-17 22:20:56.119836",1,,"2023-05-30 21:09:24.198458",,1501.36,
10813,,CIG0002032,"127662","5569024","140",Y,"2022-10-17 22:20:56.159180",1,,"2022-10-17 22:20:56.159215",,3823.18,
10814,,CIG0002030,"127662","5531061","140",Y,"2022-10-17 22:20:56.163968",1,,"2022-10-17 22:20:56.164003",,3396.51,
10816,,CIG0002720,"127662","6171268","140",Y,"2022-10-17 22:20:56.173928",1,,"2023-05-30 21:09:24.244199",,3355.2,
10820,,CIG0003111,"127662","73103","140",Y,"2022-10-17 22:20:56.190642",1,,"2023-05-30 21:09:24.287456",,5587.72,
10821,,CIG0002001,"127662","730084","140",Y,"2022-10-17 22:20:56.194337",1,,"2023-05-30 21:09:24.337721",,9600.25,
10822,,CIG0002014,"127662","1274080","140",Y,"2022-10-17 22:20:56.198014",1,,"2023-05-30 21:09:24.390675",,9600.25,
10823,,CIG0009706,"127662","73497","140",N,"2022-10-17 22:20:56.201552",0,,"2023-05-30 18:24:08.465842",,3034.16,
10824,,CIG0009613,"127662","1990083","140",N,"2022-10-17 22:20:56.205786",0,,"2023-05-30 18:24:08.508285",,3034.16,
